OPE ID,School,State,SchoolType,Recipients,LoansOriginated,FundsOriginated,TotalDisbursements,FundsDisbursed
001161,CERRITOS COMMUNITY COLLEGE,CA,Public,412,412,2022856,434,1054855
001371,UNIVERSITY OF DENVER,CO,Private-Nonprofit,8415,8867,148289803,8867,51994463
004508,UNIVERSITY OF COLORADO DENVER,CO,Public,10397,10936,143972426,10936,74878541
001370,UNIVERSITY OF COLORADO BOULDER,CO,Public,13530,13778,118429270,13778,63287062
001350,COLORADO STATE UNIVERSITY,CO,Public,13190,13624,116051014,13626,59943418
010148,COLORADO TECHNICAL UNIVERSITY,CO,Proprietary,14948,14966,71121390,16080,28114541
042189,ROCKY VISTA UNIVERSITY,CO,Proprietary,1624,1654,65083908,1654,32873762
001349,UNIVERSITY OF NORTHERN COLORADO,CO,Public,6825,6969,47800021,7004,24895071
001360,METROPOLITAN STATE UNIVERSITY OF DENVER,CO,Public,8364,8526,45329576,8526,24878271
004509,UNIVERSITY OF COLORADO COLORADO SPRINGS,CO,Public,6130,6323,41127911,6324,21568783
001348,COLORADO SCHOOL OF MINES,CO,Public,3672,3724,31096979,3724,15975543
001358,COLORADO MESA UNIVERSITY,CO,Public,5272,5372,29688273,5372,14893681
001363,REGIS UNIVERSITY,CO,Private-Nonprofit,2526,2610,27504536,2610,13860249
042087,COLORADO STATE UNIVERSITY - GLOBAL CAMPUS,CO,Public,3925,4003,27041260,5710,11909084
009401,COLORADO CHRISTIAN UNIVERSITY,CO,Private-Nonprofit,3239,3636,22375189,3636,10596276
007933,FRONT RANGE COMMUNITY COLLEGE-WESTMINSTER CAMPUS,CO,Public,3748,3748,17332867,3752,8691976
001345,ADAMS STATE UNIVERSITY,CO,Public,1769,1788,17017975,1788,6914740
037763,AUGUSTE ESCOFFIER SCHOOL OF CULINARY ARTS,CO,Proprietary,3822,3834,15845520,3857,8009133
001365,COLORADO STATE UNIVERSITY-PUEBLO,CO,Public,2082,2113,12432020,2115,6157489
021175,NAROPA UNIVERSITY,CO,Private-Nonprofit,812,819,11570725,820,5625836
001372,WESTERN COLORADO UNIVERSITY,CO,Public,1568,1589,10908801,1589,5473952
009542,COMMUNITY COLLEGE OF DENVER,CO,Public,1995,1995,8345652,1995,4162009
001417,UNIVERSITY OF CONNECTICUT,CT,Public,17450,18377,149865076,18475,76731291
001402,QUINNIPIAC UNIVERSITY,CT,Private-Nonprofit,7357,7449,70408918,7494,35563289
001403,SACRED HEART UNIVERSITY,CT,Private-Nonprofit,7949,8082,69491185,8082,34335704
001426,YALE UNIVERSITY,CT,Private-Nonprofit,2738,2758,67138537,2784,32924647
001397,UNIVERSITY OF NEW HAVEN,CT,Private-Nonprofit,7280,7452,54422129,7452,28263916
001406,SOUTHERN CONNECTICUT STATE UNIVERSITY,CT,Public,7975,8576,46625464,8576,23506132
001378,CENTRAL CONNECTICUT STATE UNIVERSITY,CT,Public,6725,6939,39601268,6939,20173348
001422,UNIVERSITY OF HARTFORD,CT,Private-Nonprofit,4769,4847,32859677,4847,16916528
001401,POST UNIVERSITY,CT,Proprietary,4680,4704,23311500,4722,6533561
001416,UNIVERSITY OF BRIDGEPORT,CT,Private-Nonprofit,2553,2565,23138319,2567,12041299
001409,UNIVERSITY OF SAINT JOSEPH,CT,Private-Nonprofit,1773,1789,19495972,1789,10522176
001385,FAIRFIELD UNIVERSITY,CT,Private-Nonprofit,2388,2399,19089041,2399,9503197
001380,WESTERN CONNECTICUT STATE UNIVERSITY,CT,Public,3547,3548,18554124,3602,9488387
001425,EASTERN CONNECTICUT STATE UNIVERSITY,CT,Public,2948,3013,14164990,3013,7434226
022449,GOODWIN UNIVERSITY,CT,Private-Nonprofit,2765,2801,12325722,2801,6414573
001374,ALBERTUS MAGNUS COLLEGE,CT,Private-Nonprofit,1521,1555,9212074,2248,4926745
007303,LINCOLN TECHNICAL INSTITUTE,CT,Proprietary,1736,1856,6987386,2139,3694121
001379,CONNECTICUT COLLEGE,CT,Private-Nonprofit,1024,1024,5390464,1027,2693496
032343,CHARTER OAK STATE COLLEGE,CT,Public,907,908,4960423,908,2598668
001414,TRINITY COLLEGE,CT,Private-Nonprofit,869,872,4804267,872,2458317
001424,WESLEYAN UNIVERSITY,CT,Private-Nonprofit,649,698,4399056,698,2297964
001431,UNIVERSITY OF DELAWARE,DE,Public,10545,10809,59986785,10817,31156428
001428,DELAWARE STATE UNIVERSITY,DE,Public,2036,2058,13465151,2058,6822819
001433,WESLEY COLLEGE,DE,Private-Nonprofit,784,815,6348262,815,3177504
001429,GOLDEY-BEACOM COLLEGE,DE,Private-Nonprofit,274,275,1399482,275,766370
001444,GEORGE WASHINGTON UNIVERSITY,DC,Private-Nonprofit,11005,11123,207881105,11123,105128248
002077,JOHNS HOPKINS UNIVERSITY,MD,Private-Nonprofit,5792,6307,126991927,6312,55347367
001445,GEORGETOWN UNIVERSITY,DC,Private-Nonprofit,7911,7919,197337878,8008,98577449
001448,HOWARD UNIVERSITY,DC,Private-Nonprofit,10955,11140,162290773,11141,81935563
001459,STRAYER UNIVERSITY,DC,Proprietary,25885,25917,127297832,27235,48537555
001434,AMERICAN UNIVERSITY,DC,Private-Nonprofit,7197,7231,74318685,7231,44397312
001437,CATHOLIC UNIVERSITY OF AMERICA,DC,Private-Nonprofit,3077,3108,31632667,3115,16244293
001441,UNIVERSITY OF THE DISTRICT OF COLUMBIA,DC,Public,1227,1235,11050203,1235,5521507
001460,TRINITY WASHINGTON UNIVERSITY,DC,Private-Nonprofit,950,965,7086573,965,3110588
001443,GALLAUDET UNIVERSITY,DC,Private-Nonprofit,233,233,2365706,233,1195258
041144,INSTITUTE OF WORLD POLITICS (THE),DC,Private-Nonprofit,73,73,1244390,73,688015
001509,NOVA SOUTHEASTERN UNIVERSITY-DAVIE,FL,Private-Nonprofit,17589,18209,232295695,18212,194292452
001535,UNIVERSITY OF FLORIDA,FL,Public,14076,16109,188704234,16109,96119695
001536,UNIVERSITY OF MIAMI,FL,Private-Nonprofit,7661,7801,137582744,7801,67861993
009635,FLORIDA INTERNATIONAL UNIVERSITY,FL,Public,16656,16721,87845732,16856,87845732
001537,UNIVERSITY OF SOUTH FLORIDA,FL,Public,14687,14840,76745753,14840,61067160
001479,EMBRY-RIDDLE AERONAUTICAL UNIVERSITY,FL,Private-Nonprofit,9570,9906,75998691,10311,38557944
021519,KEISER UNIVERSITY,FL,Private-Nonprofit,12786,12978,74640507,14429,39765132
003954,UNIVERSITY OF CENTRAL FLORIDA-MAIN CAMPUS,FL,Public,19671,19706,69868934,19751,65215295
001481,FLORIDA ATLANTIC UNIVERSITY,FL,Public,9917,9926,63844222,9988,32780909
001489,FLORIDA STATE UNIVERSITY,FL,Public,13310,13311,62390493,13428,62126960
001466,BARRY UNIVERSITY,FL,Private-Nonprofit,5218,5262,60525297,5266,39136842
023621,FULL SAIL UNIVERSITY,FL,Proprietary,9752,9752,56585043,10297,29594376
001480,FLORIDA AGRICULTURAL & MECHANICAL UNIVERSITY,FL,Public,5817,5943,48635426,5943,24662389
